"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/1999","112.28","116.06","117.08","109.89","","-3.33%"
"09/01/1999","116.15","111.15","117.21","109.87","","4.65%"
"08/01/1999","110.99","106.17","110.99","106.17","","5.61%"
"07/01/1999","105.09","103.05","106.39","101.37","","1.53%"
"06/01/1999","103.51","96.13","103.51","96.13","","7.11%"
"05/01/1999","96.64","101.63","102.11","96.64","","-4.30%"
"04/01/1999","100.98","97.51","100.98","95.16","","2.96%"
"03/01/1999","98.08","86.38","98.29","86.38","","13.58%"
"02/01/1999","86.35","89.03","89.44","85.64","","-4.05%"
"01/01/1999","90.00","91.64","94.67","88.07","","-0.58%"
"12/01/1998","90.52","91.71","93.33","87.85","","-1.56%"
"11/01/1998","91.95","101.14","101.38","91.95","","-8.78%"
"10/01/1998","100.80","102.72","103.27","99.71","","-3.57%"
"09/01/1998","104.53","98.61","104.53","98.38","","7.96%"
"08/01/1998","96.83","100.93","102.04","96.83","","-5.68%"
"07/01/1998","102.65","107.34","107.35","102.65","","-4.54%"
"06/01/1998","107.54","109.59","109.59","103.14","","-2.89%"
"05/01/1998","110.74","116.46","116.46","109.49","","-3.76%"
"04/01/1998","115.07","116.50","118.24","115.07","","-2.19%"
"03/01/1998","117.64","117.49","120.08","111.91","","0.30%"
"02/01/1998","117.29","123.83","123.83","115.84","","-5.20%"
"01/01/1998","123.72","123.18","125.17","118.58","","-0.56%"
"12/01/1997","124.42","129.85","130.04","124.42","","-4.59%"
"11/01/1997","130.40","136.68","136.76","130.40","","-4.92%"
"10/01/1997","137.15","135.53","139.64","135.35","","1.03%"
"09/01/1997","135.74","133.54","136.08","131.73","","2.10%"
"08/01/1997","132.96","132.91","134.30","130.53","","0.72%"
"07/01/1997","132.01","128.49","132.01","125.01","","2.75%"
"06/01/1997","128.48","133.29","133.29","126.88","","-4.36%"
"05/01/1997","134.34","130.39","136.52","129.43","","2.87%"
"04/01/1997","130.58","128.96","130.58","125.19","","1.35%"
"03/01/1997","128.84","126.72","130.88","126.72","","2.34%"
"02/01/1997","125.89","127.64","127.77","125.03","","-1.36%"
"01/01/1997","127.62","127.38","130.84","127.38","","0.55%"
"12/01/1996","126.92","124.13","128.76","122.56","","2.39%"
"11/01/1996","123.96","116.83","124.10","116.23","","5.64%"
"10/01/1996","117.33","117.18","121.19","117.18","","-0.50%"
"09/01/1996","117.92","117.54","118.82","116.13","","1.58%"
"08/01/1996","116.08","111.50","116.50","111.26","","5.60%"
"07/01/1996","109.93","112.56","114.59","109.01","","-1.31%"
"06/01/1996","111.39","108.50","111.39","106.92","","2.43%"
"05/01/1996","108.75","109.23","111.71","108.60","","-0.14%"
